DATE,UNEMPLOYUT
2004-01-01,65125.000000000000
2005-01-01,54525.000000000000
2006-01-01,42875.000000000000
2007-01-01,33975.000000000000
2008-01-01,43300.000000000000
2009-01-01,80975.000000000000
2010-01-01,112950.000000000000
2011-01-01,105150.000000000000
2012-01-01,82600.000000000000
2013-01-01,68025.000000000000
2014-01-01,58225.000000000000
2015-01-01,52325.000000000000
2016-01-01,54175.000000000000
2017-01-01,53625.000000000000
2018-01-01,51000.000000000000
2019-01-01,44925.000000000000
2020-01-01,65450.000000000000
2021-01-01,61325.000000000000
2022-01-01,42450.000000000000
2023-01-01,45150.000000000000
2024-01-01,.
