DATE,UNEMPLOYND
2004-01-01,12200.0000000000000000
2005-01-01,12375.0000000000000000
2006-01-01,12500.000000000000
2007-01-01,11775.0000000000000000
2008-01-01,11800.0000000000000000
2009-01-01,13875.000000000000
2010-01-01,14500.000000000000
2011-01-01,14025.000000000000
2012-01-01,12975.000000000000
2013-01-01,12525.000000000000
2014-01-01,11425.0000000000000000
2015-01-01,12050.0000000000000000
2016-01-01,13000.000000000000
2017-01-01,11750.0000000000000000
2018-01-01,11300.0000000000000000
2019-01-01,9950.0000000000000000
2020-01-01,15325.000000000000
2021-01-01,17225.000000000000
2022-01-01,8775.0000000000000000
2023-01-01,7650.0000000000000000
2024-01-01,.
