DATE,UNEMPLOYLA
2004-01-01,126975.000000000000
2005-01-01,123525.000000000000
2006-01-01,103100.000000000000
2007-01-01,87475.000000000000
2008-01-01,92100.000000000000
2009-01-01,130275.000000000000
2010-01-01,156650.000000000000
2011-01-01,168000.000000000000
2012-01-01,153300.000000000000
2013-01-01,148175.000000000000
2014-01-01,128025.000000000000
2015-01-01,145325.000000000000
2016-01-01,132775.000000000000
2017-01-01,117925.000000000000
2018-01-01,102675.000000000000
2019-01-01,99375.000000000000
2020-01-01,145400.000000000000
2021-01-01,143400.000000000000
2022-01-01,85025.000000000000
2023-01-01,74200.000000000000
2024-01-01,.
