st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17,c18,c19,c21,c22,c24,c25,c27,c29,c30,c31,c32,c33,c35,c36,c38,c39,c40,c41,c42,c43,c45,c46,c47,c48,c49,c50,c51
AK,3/31/2002,0,0,0,0,0,0,0,0,0,0,0,3362,514,844,0,0,43,2,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,4/30/2002,4406,0,1210,94,0,53,23,0,10,0,0,9929,739,2550,0,0,166,4,118,0,0,0,12,19668,18921,747,646,101,3630391,3473777,132888,26708,4121,118,23,1,0,50,0,0,0,0,0
AK,5/31/2002,1970,0,432,20,0,12,2,0,1,0,0,9931,0,3107,0,0,204,0,163,0,44,0,27,13603,13111,449,376,73,2464232,2369819,74121,18952,1390,24,5,209,0,96,1,0,0,0,0
AK,6/30/2002,2141,1,341,27,0,13,10,0,1,0,0,14363,0,3795,0,0,238,0,171,0,62,0,31,17787,17068,481,390,91,3241924,3126630,80276,24003,2780,42,12,639,10,170,1,0,0,0,0
AK,7/31/2002,1263,5,209,12,0,11,8,0,2,0,0,15809,0,3589,0,0,226,0,150,0,67,0,26,20864,19948,498,408,90,3861992,3726545,83540,24420,1370,22,10,1094,3,343,12,0,0,0,0
AK,8/31/2002,1581,24,244,21,0,8,2,0,0,0,0,12566,460,2569,0,0,162,7,122,0,61,3,23,13629,12907,342,262,80,2595222,2485223,56335,21387,1166,18,3,1562,5,326,1,0,0,0,0
AK,9/30/2002,1285,0,354,17,0,9,3,0,2,0,0,12425,727,2566,0,0,173,6,106,0,51,7,14,13463,12577,315,255,60,2482734,2354058,50322,15345,1536,32,2,1156,8,391,3,0,0,0,0
AK,10/31/2002,1833,17,320,27,0,12,4,0,2,0,0,10641,566,2421,0,0,132,9,88,0,31,3,18,11982,11263,274,227,47,2179583,2079085,43559,11612,1501,32,7,850,4,401,1,0,0,0,0
AK,11/30/2002,1112,14,271,11,0,8,1,0,1,0,0,8492,680,1821,0,0,129,10,68,0,26,5,11,8994,8538,208,174,34,1664662,1601209,32869,7900,1140,18,3,546,0,308,2,0,0,0,0
AK,12/31/2002,508,7,199,5,0,7,1,0,0,0,0,4791,489,2079,0,0,73,8,84,0,14,7,20,6279,6036,168,138,30,1147594,1108577,28046,7640,573,11,1,15,0,132,0,0,0,0,0
AK,1/31/2003,736,22,346,10,1,16,3,1,3,0,0,4873,459,2019,0,0,78,9,89,0,9,2,21,6385,6144,196,165,31,1152087,1112813,32647,8164,529,15,4,34,0,94,1,0,0,0,0
AK,2/28/2003,880,2,372,9,0,12,2,0,2,0,0,6829,442,2295,0,0,76,12,103,0,11,0,26,8587,8275,194,164,30,1572441,1522452,33621,7820,736,14,2,111,0,83,1,1,2,0,0
AK,3/31/2003,643,3,319,9,0,8,0,0,2,0,0,10094,0,2824,0,0,103,0,128,0,28,0,27,10149,9718,241,198,43,1881297,1815697,39642,12072,810,15,1,203,0,123,0,1,3,0,0
AK,4/30/2003,717,5,356,5,0,8,2,0,1,0,0,8148,426,3226,0,0,63,0,121,0,19,3,24,13012,12459,258,207,51,2427248,2341386,42355,13769,1075,15,5,316,1,148,3,0,0,0,0
AK,5/31/2003,636,4,241,7,0,10,3,0,2,0,0,8245,516,3370,0,0,67,3,140,0,17,10,25,10762,10294,233,194,39,2020120,1948109,41565,10305,934,15,1,232,0,178,1,0,0,0,0
AK,6/30/2003,2255,2,354,21,0,2,8,0,2,9629,483,0,0,3896,80,9,0,0,171,41,0,0,33,12893,12451,314,240,74,2455132,2384265,51649,19142,921,9,7,316,2,215,1,1,0,0,0
AK,7/31/2003,420,4,194,4,0,9,2,0,2,0,0,8471,478,3120,0,0,73,2,128,0,25,3,38,11035,10587,252,193,59,2111546,2038525,41345,15957,884,12,3,267,2,297,0,1,0,0,0
AK,8/31/2003,436,5,217,4,0,6,2,0,0,0,0,10356,458,2990,0,0,95,0,103,0,60,8,39,11006,10585,242,180,62,2062840,1996599,37933,16599,777,9,4,289,1,274,1,1,0,0,0
AK,9/30/2003,523,3,280,13,0,5,3,0,0,0,0,9200,442,3235,0,0,106,3,77,0,32,12,27,13520,12955,271,204,67,2506720,2416359,43399,19098,799,9,4,390,3,404,10,1,0,0,0
AK,10/31/2003,610,2,308,6,0,12,3,0,1,0,0,8525,505,3068,0,0,105,9,69,0,36,10,12,10962,10543,203,160,43,2018713,1950340,33713,13180,754,14,1,371,0,358,3,1,0,0,0
AK,11/30/2003,684,0,261,6,0,10,2,0,1,0,0,9501,380,2960,0,0,135,6,79,0,45,4,14,10834,10440,219,169,50,2004337,1940315,33099,13879,833,10,6,345,1,229,5,0,0,0,0
AK,12/31/2003,722,3,228,7,0,20,0,0,2,10062,462,0,0,3358,122,11,0,0,101,38,0,0,16,14681,14174,298,241,57,2693336,2608290,49385,15353,1101,26,4,435,2,203,6,0,0,0,0
AK,1/31/2004,70,1,18,1,0,1,1,0,0,0,0,7753,288,2525,0,0,89,2,107,0,31,0,18,9252,8944,238,192,46,1708205,1655595,39612,12825,169,6,1,809,3,95,4,0,0,0,0
AK,2/29/2004,3,0,13,2,0,0,0,0,0,0,0,4338,155,1395,0,0,54,0,47,0,24,0,8,4294,4087,124,93,31,803006,770696,19167,8428,3,1,0,738,2,74,0,0,0,0,0
AK,3/31/2004,2,0,7,0,0,0,0,0,0,0,0,1413,73,441,0,0,30,1,21,0,10,0,7,1512,1412,61,39,22,296793,278103,8554,5662,2,1,0,467,5,46,0,0,0,0,0
AK,4/30/2004,1,0,8,0,0,0,0,0,0,0,0,197,17,62,0,0,7,0,2,0,3,0,0,176,151,8,3,5,31984,24872,684,1130,2,2,0,32,1,14,1,0,0,0,0
AK,5/31/2004,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,23,4,4,0,6370,3018,992,0,0,0,0,2,0,8,0,0,0,0,0
AK,6/30/2004,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,54,51,0,0,0,6034,5216,0,0,1,1,0,3,0,4,0,0,0,0,0
AK,7/31/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,1,1,0,1690,1395,78,0,0,0,0,0,0,0,0,0,0,0,0
AK,8/31/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,3309,2741,0,0,0,0,0,2,0,0,0,0,0,0,0
AK,9/30/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,0,0,0,2677,2007,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,10/31/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,11/30/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,2007,1701,0,0,0,0,0,1,0,0,0,0,0,0,0
AK,12/31/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,228,201,0,0,0,0,0,1,0,0,0,0,0,0,0
AK,1/31/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,2300,1658,0,0,0,0,0,1,0,0,0,0,0,0,0
AK,2/28/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,976,739,0,0,0,0,0,4,0,0,0,0,0,0,0
AK,3/31/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,861,861,55,0,0,0,0,0,0,0,0,0,0,0,0
AK,4/30/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,2413,1520,0,248,0,0,0,1,0,0,0,0,0,0,0
AK,5/31/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,694,480,0,0,0,0,0,1,0,0,0,0,0,0,0
AK,6/30/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,2,0,1246,1116,520,0,0,0,0,1,0,0,0,0,0,0,0
AK,7/31/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,159,61,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,9/30/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,779,699,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,10/31/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,608,466,0,0,0,0,0,1,0,0,0,0,0,0,0
AK,4/30/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,6/30/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,3/31/2002,10294,73,59,39,0,0,48,1,1,0,0,16734,414,76,0,0,88,3,0,0,69,6,0,14413,14308,221,66,57,2386923,2373659,10291,10830,8616,42,35,0,0,6,0,0,0,0,0
AL,4/30/2002,9190,71,134,88,0,2,31,0,0,0,0,84992,0,652,0,0,797,0,6,0,374,0,11,75363,74293,1651,713,324,12115574,12003027,111340,61120,8751,103,40,0,0,71,1,0,0,0,0
AL,5/31/2002,4586,68,92,21,0,1,11,2,1,0,0,79551,4096,1047,0,0,660,53,9,0,558,87,11,85031,65509,1802,732,396,13464263,10528270,109629,75071,5310,37,12,0,0,174,0,0,0,0,0
AL,6/30/2002,3969,78,88,11,0,0,24,0,0,0,0,61331,3286,831,0,0,384,45,5,0,311,82,10,60943,59897,1062,394,313,9798761,9689217,61635,58712,3695,17,24,0,0,183,3,0,0,0,0
AL,7/31/2002,5074,110,62,8,0,1,6,1,0,0,0,54694,3338,819,0,0,200,18,1,0,228,57,13,54409,53468,727,199,239,8802985,8708526,31112,45135,5525,9,14,4215,23,253,1,3,0,0,0
AL,8/31/2002,3404,112,137,10,0,0,15,2,0,0,0,42077,2926,784,0,0,99,3,0,0,175,62,4,43345,42670,460,96,175,7071054,7003655,15276,32967,4047,9,12,0,0,181,1,0,0,0,0
AL,9/30/2002,2650,125,124,10,0,0,4,1,1,0,0,42413,2625,1066,0,0,115,0,0,0,179,49,2,36860,36250,388,99,150,5967332,5909295,16452,27748,2585,12,14,745,2,196,2,0,0,0,0
AL,10/31/2002,2753,204,137,4,1,0,8,6,1,12501,71,33156,2311,1169,49,0,86,0,0,78,126,32,4,38743,37985,366,93,146,6233313,6158596,14497,26691,2796,3,11,3418,9,245,2,1,0,0,0
AL,11/30/2002,2254,136,154,7,1,1,3,0,1,0,0,31336,2111,1303,0,0,68,0,4,0,102,24,9,32116,31520,254,70,122,5227905,5167230,11242,22488,3188,11,9,2228,10,257,1,0,0,0,0
AL,12/31/2002,3404,156,150,2,0,2,7,2,0,0,0,37947,2524,1738,0,0,88,5,11,0,98,23,8,38883,38207,321,103,102,6343481,6269626,16349,18439,3597,11,9,2473,9,253,0,0,0,0,0
AL,1/31/2003,3183,127,124,8,1,0,7,1,0,0,0,28820,2119,1105,0,0,123,5,10,0,83,19,2,28705,28170,310,128,82,4687407,4634412,22356,15176,3048,15,9,1968,4,273,0,0,0,0,0
AL,2/28/2003,3021,145,134,7,0,0,13,3,1,0,0,27726,2189,1085,0,0,149,17,3,0,137,32,4,29079,28499,422,152,139,4804967,4748423,27575,27326,3520,22,28,1803,5,170,0,0,0,0,0
AL,3/31/2003,3057,129,105,7,0,0,4,1,1,0,0,36645,2364,1416,0,0,193,20,0,0,221,40,10,31922,31330,468,166,192,5389419,5325427,31176,38813,3456,13,22,1759,4,189,1,1,0,0,0
AL,4/30/2003,2969,133,118,1,0,0,3,1,0,0,0,34270,2195,1257,0,0,174,17,4,0,236,50,29,40101,39370,597,193,282,6850832,6771878,36310,57797,3224,3122,102,2551,10,229,3,1,0,0,0
AL,5/31/2003,2973,137,94,4,0,1,1,2,0,0,0,33430,2208,1131,0,0,129,24,8,0,232,55,26,34261,33623,476,139,265,5882906,5811330,27930,54210,3285,11,27,2337,17,239,1,2,0,0,0
AL,6/30/2003,2615,149,77,19,2,0,15,2,1,0,0,38141,2353,1147,0,0,146,15,9,0,229,50,26,31964,31480,381,121,178,5488906,5437860,22451,36355,2773,13,11,2502,14,244,1,1,0,0,0
AL,7/31/2003,3661,153,116,14,1,0,13,1,1,0,0,35035,2567,1263,0,0,142,16,5,0,202,30,20,41382,40868,512,167,234,7186464,7133705,30342,46922,4170,16,21,2847,19,236,1,0,0,0,0
AL,8/31/2003,2689,142,115,12,0,0,22,0,2,0,0,32208,2520,1271,0,0,127,14,0,0,179,24,21,33210,32721,411,121,203,5782950,5730245,22144,41764,2919,8,20,2266,10,182,1,2,0,0,0
AL,9/30/2003,3204,155,138,10,0,1,19,0,0,0,0,38672,2647,1619,0,0,150,13,2,0,238,36,18,38219,37636,515,151,244,6639848,6575998,26348,50717,3170,9,19,2646,13,203,1,1,0,0,0
AL,10/31/2003,3024,124,144,9,0,0,25,2,1,0,0,29711,2355,1204,0,0,72,13,5,0,221,33,12,31506,31007,434,82,242,5424536,5368956,14326,50230,3095,2975,120,2456,17,202,0,0,0,0,0
AL,11/30/2003,2342,131,147,17,2,1,20,1,0,0,0,27637,2229,1202,0,0,76,21,4,0,205,40,4,28426,27938,391,79,205,4901146,4846344,14305,42864,2553,14,14,1977,15,184,0,0,0,0,0
AL,12/31/2003,3195,128,122,13,2,2,26,4,1,0,0,32959,2325,1506,0,0,89,27,10,0,213,39,5,36205,35505,458,103,233,6244353,6166675,20484,47529,3094,12,20,2456,20,262,0,0,0,0,0
AL,1/31/2004,378,65,37,6,0,0,4,2,0,0,0,22686,2080,962,0,0,103,23,12,0,182,36,4,23913,23433,372,111,173,4100249,4052006,20322,35444,1118,8,8,2042,13,223,4,1,0,0,0
AL,2/29/2004,49,30,8,0,0,0,1,0,0,0,0,12454,1172,498,0,0,67,9,4,0,96,26,4,12947,12690,230,70,103,2227414,2199794,12952,21080,85,0,1,1818,12,111,1,0,0,0,0
AL,3/31/2004,9,23,5,0,0,0,0,0,0,0,0,5513,532,213,0,0,42,0,5,0,50,6,4,5829,5609,134,45,53,990311,968702,7333,10600,44,0,0,1587,11,137,3,0,0,0,0
AL,4/30/2004,0,0,1,0,0,0,0,0,0,0,0,340,0,15,0,0,2,0,1,0,4,0,0,455,432,9,3,4,75728,73674,555,725,13,0,0,85,2,15,0,0,0,0,0
AL,5/31/2004,0,0,3,0,0,0,0,0,0,0,0,59,33,8,0,0,0,0,0,0,0,0,0,147,142,0,0,0,24779,24348,0,0,7,0,0,9,0,3,0,0,0,0,0
AL,6/30/2004,0,0,0,0,0,0,0,0,0,0,0,53,29,11,0,0,0,0,0,0,0,0,0,134,132,0,0,0,23289,23234,0,0,11,0,0,5,0,19,0,0,0,0,0
AL,7/31/2004,0,0,0,0,0,0,0,0,0,0,0,41,27,0,0,0,0,0,0,0,0,0,0,88,86,1,0,1,13675,13597,0,13,12,0,0,8,1,4,0,1,0,0,0
AL,8/31/2004,1,1,0,0,0,0,0,0,0,0,0,24,15,0,0,0,0,0,0,0,0,0,0,54,54,7,0,0,7361,7361,0,0,8,0,0,6,0,6,0,0,1,0,0
AL,9/30/2004,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,34,30,0,0,0,4850,4428,0,0,6,0,0,3,0,4,0,0,0,0,0
AL,10/31/2004,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,1597,1522,0,0,0,0,0,2,0,1,0,0,1,0,0
AL,11/30/2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,266,266,0,0,0,0,0,1,0,0,0,0,1,0,0
AL,12/31/2004,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,0,0,0,0,0,0,0,0,0,0,1,0,0
AL,1/31/2005,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,574,574,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2/28/2005,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,577,577,0,0,1,1,0,2,0,0,0,0,0,0,0
AL,3/31/2005,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,2214,2214,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,4/30/2005,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,1036,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,3/31/2002,6739,83,125,0,0,0,0,0,0,0,0,15760,261,102,0,0,0,0,0,0,0,0,0,13920,1365,254,90,55,2867327,163235,29466,15432,5287,0,0,0,0,5,0,0,17,0,0
AR,4/30/2002,3481,89,135,0,0,0,0,0,0,0,0,28826,1931,1241,0,0,0,0,0,0,0,0,0,13865,10652,623,312,124,2867135,2467327,65984,38343,3472,0,0,0,0,27,0,0,19,0,0
AR,5/31/2002,2732,45,116,0,0,0,0,0,0,15,0,44152,2816,2154,0,0,0,0,0,0,0,0,0,39079,35492,739,366,150,8141334,7714821,76502,47892,2321,0,0,0,0,85,0,0,9,0,0
AR,6/30/2002,2502,40,110,0,0,0,0,0,0,0,0,48380,2301,1481,0,0,0,0,0,0,0,0,0,46387,42051,862,400,171,9554579,9063984,87203,53002,2636,0,0,4468,16,84,0,0,1,0,0
AR,7/31/2002,2613,90,89,0,0,0,0,0,0,0,0,26941,2394,0,0,0,0,0,0,0,0,0,0,29887,27139,512,203,123,6124192,5823035,48979,37343,2345,0,0,2839,11,79,0,0,0,0,0
AR,8/31/2002,2324,87,95,0,0,0,0,0,0,13,0,30906,0,1439,0,0,0,0,0,0,0,0,0,25335,22552,420,174,99,5222106,4927072,41947,28666,2010,0,0,2199,6,125,0,0,1,0,0
AR,9/30/2002,1841,69,93,0,0,0,0,0,0,10,0,28270,1879,1289,0,0,0,0,0,0,0,0,0,26873,23200,422,169,122,5522952,5122849,42325,37242,1940,0,0,2199,6,127,0,0,3,0,0
AR,10/31/2002,2278,135,108,0,0,0,0,0,0,30,0,23395,1876,937,0,0,0,0,0,0,0,0,0,18037,15600,296,122,91,3756697,3489950,30445,25138,1911,0,0,1570,8,67,0,0,0,0,0
AR,11/30/2002,1809,134,106,0,0,0,0,0,0,15,0,19687,1649,1170,0,0,0,0,0,0,0,0,0,18673,15973,299,119,109,3941757,3643413,31313,28303,1905,0,0,1248,5,111,0,0,0,0,0
AR,12/31/2002,2114,140,95,0,0,0,0,0,0,0,0,26707,1729,1315,0,0,0,0,6,0,0,0,132,25589,22007,404,174,138,5427558,5027820,44512,37281,2104,0,0,1816,7,151,0,0,135,0,0
AR,1/31/2003,2729,155,103,0,0,0,0,0,0,27,0,21048,1491,1145,0,0,0,0,5,0,0,0,119,18637,16442,349,149,126,3975985,3732331,36731,37458,2264,0,0,1393,9,64,0,0,1,0,0
AR,2/28/2003,2318,163,116,0,0,0,0,0,0,0,0,22047,1553,1062,0,0,0,0,6,0,0,0,123,20868,17872,463,206,131,4388003,4054466,50454,44522,2173,0,0,1351,9,78,0,0,4,0,0
AR,3/31/2003,2453,184,140,0,0,0,0,0,0,28,0,29069,1775,1450,0,0,0,0,10,0,0,0,185,27757,23677,697,317,199,5855580,5432642,79034,69089,2510,0,0,1946,11,93,0,0,2,0,0
AR,4/30/2003,2594,173,92,0,0,0,0,0,0,0,0,22070,2003,1372,0,0,0,13,13,0,0,8,174,21498,18698,509,219,167,4479156,4175185,54252,57832,2422,0,0,1703,11,57,0,0,0,0,0
AR,5/31/2003,2569,160,108,0,0,0,0,0,0,0,0,23160,1964,1180,0,0,0,0,8,0,0,0,142,22237,19258,576,181,151,4648193,4329503,43398,53493,2183,0,0,1677,11,89,0,0,4,0,0
AR,6/30/2003,2330,124,132,0,0,0,0,0,0,0,0,30076,2039,1639,0,0,0,30,13,0,0,11,155,28883,25451,516,195,173,6162578,5774058,50745,60526,2507,0,0,2353,11,99,0,0,1,0,0
AR,7/31/2003,2719,150,130,3,3,0,0,0,0,0,0,22568,1865,1425,0,0,0,29,12,0,0,10,133,21848,19535,348,136,126,4689342,4423498,35130,43410,2289,0,0,2014,9,48,0,0,1,0,0
AR,8/31/2003,2169,139,131,0,1,0,0,1,0,28,0,26696,11867,1291,0,0,0,34,13,0,0,12,104,25879,22947,428,190,134,5602765,5271358,48747,44304,2255,0,0,2088,10,73,0,0,3,0,0
AR,9/30/2003,2029,142,114,0,0,0,0,0,0,16,0,23737,1845,1571,0,0,0,19,9,0,0,19,130,23168,19867,364,159,125,5024307,4657695,34326,43303,1904,0,0,1824,9,103,0,0,1,0,0
AR,10/31/2003,2260,145,120,0,0,0,0,0,0,23,0,19101,1960,1208,0,0,0,18,8,0,0,17,88,18587,16205,250,108,98,4054181,3785700,21838,32423,1874,0,0,1625,5,58,0,0,5,0,0
AR,11/30/2003,1685,121,115,0,0,0,0,0,0,16,0,23185,1568,1377,0,0,0,23,5,0,0,13,91,22659,19608,296,128,102,4905988,4566800,25258,36911,1925,0,0,1728,6,53,0,0,1,0,0
AR,12/31/2003,1658,138,73,6,2,0,2,0,0,22,0,26166,1919,1760,0,0,75,38,1,0,91,13,37,22331,19247,311,112,120,4820110,4482339,31277,37580,2016,0,0,1763,8,175,4,1,0,0,0
AR,1/31/2004,92,24,3,0,0,0,0,0,0,4,0,14363,1412,1248,0,0,55,28,0,0,72,2,0,14957,13132,193,68,87,3217502,3018509,20394,25818,192,0,0,1642,9,60,0,0,0,0,0
AR,2/29/2004,0,8,6,0,0,0,0,0,0,0,0,8109,833,651,0,0,35,21,0,0,45,1,0,8521,7188,103,43,51,1827631,1681873,11519,14533,12,0,0,1512,6,52,0,0,0,0,0
AR,3/31/2004,0,6,5,0,0,0,0,0,0,0,0,2267,379,221,0,0,6,6,0,0,13,1,2,2329,1696,25,7,13,495762,434171,2330,3661,5,0,0,892,7,73,0,0,0,0,0
AR,4/30/2004,0,4,0,0,0,0,0,0,0,0,0,202,82,18,0,0,0,0,0,0,0,0,0,192,114,0,0,0,43980,37209,0,0,2,0,0,44,0,13,0,0,2,0,0
AR,5/31/2004,0,0,1,0,0,0,0,0,0,0,0,70,20,3,0,0,0,0,0,0,0,0,0,68,64,0,0,0,19219,18531,0,0,0,0,0,14,0,2,0,0,0,0,0
AR,6/30/2004,0,2,0,0,0,0,0,0,0,0,0,21,11,3,0,0,0,0,0,0,0,0,0,22,20,0,0,0,6248,6078,0,0,0,0,0,8,0,2,0,0,0,0,0
AR,8/31/2004,2,1,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1035,1035,0,0,0,0,0,3,0,0,0,0,1,0,0
AR,9/30/2004,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AR,10/31/2004,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4043,0,0,0,0,0,0,13,0,0,0,0,0,0,0
AR,11/30/2004,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,12/31/2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1/31/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2/28/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,4/30/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2435,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AR,10/31/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,6/30/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,12/31/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,3/31/2002,10533,0,569,17,0,6,9,0,0,0,0,3430,0,115,0,0,20,0,1,0,4,0,0,2803,2721,41,16,4,491415,481631,2865,742,0,0,0,0,0,0,0,0,0,0,0
AZ,4/30/2002,7728,0,2401,40,0,32,8,0,15,0,0,67082,0,6166,0,0,644,0,81,0,134,0,15,67875,65301,774,643,131,11749402,11459238,111444,25499,12685,107,22,156,0,0,0,0,0,0,0
AZ,5/31/2002,5138,0,618,19,0,2,5,0,0,0,0,54527,0,4762,0,0,430,0,59,0,92,0,8,58185,56591,586,486,97,10129364,9939285,81751,18778,4227,23,4,1860,0,0,0,0,0,0,0
AZ,6/30/2002,4136,0,580,16,0,0,4,0,4,0,0,44821,0,3761,0,0,311,0,33,0,77,0,7,47668,46525,418,331,86,8432817,8292859,56897,17138,3248,16,7,6567,16,0,0,0,0,0,0
AZ,7/31/2002,4543,0,418,13,0,3,4,0,8,0,0,32862,0,2483,0,0,169,0,15,0,58,0,12,34542,33592,260,194,66,6127126,6014141,32947,13296,3040,15,4,2608,2,0,0,0,0,0,0
AZ,8/31/2002,5595,0,735,12,0,6,7,0,0,0,0,30139,0,2139,0,0,127,0,9,0,46,0,8,31783,31077,180,130,50,5582055,5496632,19944,9893,3894,10,4,2008,5,0,0,0,0,0,0
AZ,9/30/2002,4815,0,473,8,0,5,6,0,4,0,0,37162,0,2387,0,0,140,0,18,0,60,0,0,38780,37457,211,149,62,6702619,6552432,22387,12072,3673,10,8,2518,5,0,0,0,0,0,0
AZ,10/31/2002,4789,0,495,17,0,4,6,0,0,0,0,31499,0,2111,0,0,138,0,22,0,60,0,5,32858,31643,213,148,65,5684589,5549872,24631,12753,2923,17,4,2482,3,0,0,0,0,0,0
AZ,11/30/2002,4214,0,492,10,0,2,6,0,0,0,0,25314,0,1882,0,0,147,0,13,0,62,0,2,26806,25897,210,150,59,4698632,4591608,26146,11488,2476,10,6,1938,3,0,0,0,0,0,0
AZ,12/31/2002,4054,0,519,15,0,2,6,0,4,0,0,27901,0,2237,0,0,182,0,17,0,63,0,4,29476,28660,258,189,69,5205283,5107712,34696,13608,2450,17,7,2000,3,0,0,0,0,0,0
