st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17,c18,c19,c21,c22,c23,c24,c25,c27,c29,c30,c31,c32,c33,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99
AK,7/31/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,8/31/2008,2184,32,314,18,1,6,2,1,2,0,0,6571,332,1351,0,0,47,4,30,0,0,7,3,6,7857,7617,92,80,12,1477482,1435074,22343,18231,4112,1708,17,3,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,9/30/2008,944,4,178,12,1,7,5,0,0,0,0,6689,321,1556,0,0,44,10,44,0,0,17,5,10,9516,9217,133,110,23,1823754,1776726,28909,22725,6184,983,11,6,588,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,10/31/2008,1378,6,123,16,0,7,10,0,0,0,0,4632,219,1056,0,0,32,9,35,0,0,26,2,3,5148,4964,91,66,25,1016051,983172,19107,12738,6369,906,15,4,453,4,1,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,11/30/2008,1412,13,158,16,0,9,9,1,0,0,0,11892,144,1957,0,0,123,6,77,0,0,105,7,5,10334,9942,231,144,87,2036880,197601,53577,30110,23467,1466,18,12,466,3,0,109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,12/31/2008,1413,119,228,18,9,4,8,13,2,0,0,18457,199,3640,0,0,169,9,99,0,0,105,13,7,20440,19783,369,261,108,13521448,13042295,355394,275218,80176,1706,30,10,296,2,1,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1/31/2009,1934,10,361,22,0,6,9,0,2,0,0,17783,285,3375,0,0,159,6,86,0,0,106,11,13,18107,17565,330,231,99,3487582,3402405,76313,49440,26873,0,0,0,150,3,1,130,2,0,0,0,0,45,44,0,0,0,7873,7655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2/28/2009,1359,14,298,17,0,6,5,0,0,0,0,12033,337,2677,0,0,88,6,74,0,0,55,9,5,14826,14441,224,169,55,2805960,2747667,50347,35411,14936,0,0,0,389,3,1,113,1,0,0,0,0,4869,4796,62,52,10,916778,905714,15138,12154,2984,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,3/31/2009,1523,11,274,16,2,6,3,1,1,0,0,14680,485,3216,0,0,112,15,111,0,0,80,17,8,14140,13724,261,187,74,2680155,2617566,57954,38008,19946,2,0,0,704,8,3,137,1,1,0,0,0,5573,5469,69,57,12,1064315,1048501,16395,12843,3552,0,0,0,242,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,4/30/2009,1464,18,232,14,0,8,10,0,0,0,0,8332,469,1745,0,0,65,6,62,0,0,48,16,8,17187,16723,291,204,87,3204339,3131253,66377,43007,23370,1,0,0,895,8,4,125,2,1,0,0,0,6422,6285,105,79,26,1239218,1217794,25832,18808,7024,0,0,0,509,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,5/31/2009,1472,23,271,7,0,6,5,0,0,0,0,10766,634,2228,0,0,101,1,50,0,0,65,15,20,15107,14705,250,172,78,2837868,2778980,57603,36742,20861,61,0,0,951,10,2,187,2,0,0,0,0,4686,4568,70,49,21,892769,875466,16109,10589,5520,0,0,0,518,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,6/30/2009,1323,11,203,8,1,3,6,1,0,0,0,13384,593,2854,0,0,101,4,53,0,0,85,16,15,17844,17353,277,168,109,3369671,3301329,63529,34141,29388,393,1,0,967,5,4,230,1,1,0,0,0,5172,5010,59,31,28,970378,947544,12836,5302,7534,0,0,0,443,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,7/31/2009,953,26,147,10,0,2,3,0,0,0,0,12088,553,2708,0,0,112,2,45,0,0,69,14,8,13517,13102,215,148,67,2622271,2561032,47123,28987,18136,143,2,0,667,7,3,182,3,0,0,0,0,3521,3415,44,29,15,668497,653543,9938,5946,3992,1,0,0,289,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,8/31/2009,937,23,169,10,0,3,3,0,0,0,0,12127,573,2912,0,0,113,1,48,0,0,62,12,4,11633,11235,193,140,53,2292046,2210011,42297,27839,14458,236,3,0,701,8,4,194,0,3,0,0,0,2897,2819,39,34,5,553521,542849,7220,6044,1176,26,0,0,274,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,9/30/2009,741,20,145,7,0,2,2,1,1,0,0,11226,594,2870,0,0,106,6,54,0,0,55,11,8,15751,15265,245,181,64,3109409,3042451,57096,39894,17202,384,2,0,539,2,2,121,2,0,0,0,0,3972,3874,63,45,18,758127,743216,15791,10321,5470,43,0,0,248,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,10/31/2009,812,25,201,7,0,3,3,1,1,0,0,11465,685,3062,0,0,108,4,66,0,0,56,8,8,13169,12730,220,164,56,2668034,2591199,53804,38503,15301,383,4,0,546,6,2,95,1,0,0,0,0,3304,3198,60,42,18,644394,623209,15809,10508,5301,58,1,0,231,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,11/30/2009,1190,22,260,15,1,5,5,0,1,0,0,14764,730,4086,0,0,152,3,89,0,0,59,4,14,14066,13658,224,172,52,2899204,2833729,51885,38812,13073,586,4,0,708,10,5,97,0,0,0,0,0,3542,3447,67,47,20,692048,676827,15185,9558,5627,130,1,0,273,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,12/31/2009,1343,39,279,8,0,6,8,0,0,0,0,23328,1012,5952,0,0,193,10,113,0,0,87,15,13,21812,21176,358,267,91,4528002,4423626,86019,62230,23789,975,9,1,758,10,2,172,0,1,0,0,0,6860,6676,151,98,53,1315076,1287591,32160,18464,13696,249,3,0,262,3,1,4767,4700,66,50,16,907398,895596,15244,10655,4589,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1/31/2010,2111,32,465,11,0,6,8,0,2,0,0,21658,1136,5599,0,0,164,8,114,0,0,77,13,19,24212,23630,347,251,96,5025144,4930302,83943,58302,25641,1097,8,3,1071,9,3,104,0,0,0,0,0,5332,5230,115,80,35,1059593,1042043,24430,15453,8977,250,4,0,359,4,2,6118,6000,89,68,21,1167049,1149260,21273,15597,5676,84,2,0,214,0,0,114,113,0,0,0,16894,16836,0,0,0,8,0,0,0,0,0
AK,2/28/2010,2101,29,502,14,0,12,11,0,1,0,0,19646,962,5210,0,0,126,7,106,0,0,86,10,26,25665,25015,353,241,112,5414676,5307486,88326,57766,30560,1038,9,5,1517,16,4,123,1,0,0,0,0,5102,5016,89,66,23,1053229,1037702,19823,13916,5907,248,2,0,351,5,3,6140,6000,101,67,34,1195145,1174757,23980,14948,9032,70,0,0,591,7,0,1483,1478,8,8,0,243022,242710,1772,1772,0,23,0,0,113,0,0
AK,3/31/2010,2420,45,608,19,0,12,9,0,2,0,0,21881,1160,5798,0,0,138,12,127,0,0,84,14,45,33235,32329,472,316,156,7044505,6898167,118507,74652,43855,1415,13,4,2452,22,8,165,0,0,0,0,0,6429,6298,99,68,31,1350686,1328811,23748,16536,7212,372,3,1,500,5,2,6564,6374,120,76,44,1285962,1258321,27358,15623,11735,182,1,0,699,6,4,3634,3587,45,40,5,665143,658511,10258,8802,1456,65,1,0,578,5,0
AK,4/30/2010,1932,34,426,14,0,14,7,0,2,0,0,18383,968,4978,0,0,116,5,122,0,0,78,4,45,25051,24275,400,268,132,5428035,5292310,101265,62525,38740,1322,13,8,1764,17,5,145,0,0,0,0,0,4858,4747,77,61,16,1037197,1016235,19647,15955,3692,384,4,2,375,4,0,4110,3992,94,64,30,833841,816419,20975,12623,8352,174,0,0,404,3,1,2501,2446,38,25,13,473120,464330,8696,5421,3275,51,1,0,444,5,2
AK,5/31/2010,1937,39,489,15,1,10,6,0,3,0,0,23329,1144,6068,0,0,168,9,166,0,0,104,20,56,24927,24134,408,275,133,5451130,5317537,106471,66959,39512,1631,17,3,1741,15,9,190,0,0,0,0,0,5397,5241,66,50,16,1174456,1150117,15854,12700,3154,510,3,1,350,3,1,3943,3849,83,61,22,818341,801604,19922,13674,6248,202,3,0,360,6,3,2159,2109,43,28,15,407612,399547,9346,5306,4040,114,1,0,424,3,2
AK,6/30/2010,568,17,185,7,0,3,4,0,2,0,0,17191,914,4551,0,0,118,8,111,0,0,80,10,38,27428,26593,439,295,144,6011764,5883230,115055,70930,44125,587,3,6,2070,22,12,194,0,0,0,0,0,6447,6259,62,37,25,1428568,1399589,13867,6398,7469,197,0,3,504,4,2,4398,4279,69,54,15,923743,907653,17423,13487,3936,103,1,0,431,6,2,2068,2027,69,46,23,383201,377569,14798,8730,6068,49,1,0,421,7,4
AK,7/31/2010,2721,35,651,22,0,10,9,0,2,0,0,16539,790,4629,0,0,137,4,125,0,0,57,4,38,21953,21393,362,264,98,4968692,4875514,98744,67322,31422,2154,17,4,1413,14,5,108,0,0,0,0,0,5327,5194,70,44,26,1230255,1207228,18947,10445,8502,716,5,2,363,2,0,3418,3350,49,37,12,734707,722549,11190,8530,2660,386,1,1,308,3,2,1513,1477,35,27,8,303262,297467,7312,5016,2296,136,0,0,237,5,2
AK,8/31/2010,1971,33,479,19,0,12,12,0,4,0,0,19790,992,5486,0,0,157,3,145,0,0,74,5,46,26845,26020,452,310,142,6070430,5928250,128730,82090,46640,1952,24,9,1715,20,14,214,0,0,0,0,0,6845,6644,129,87,42,1546970,1509504,37760,23581,14179,646,12,3,485,3,4,4411,4283,65,40,25,986618,966436,14029,8065,5964,413,1,2,310,4,3,705,690,11,4,7,131578,129800,2438,486,1952,4,0,0,240,1,2
AK,9/30/2010,1661,27,443,9,0,11,7,0,0,0,0,16591,796,4879,0,0,142,2,116,0,0,54,5,38,22639,21881,359,265,94,5051925,4922656,100245,68527,31718,1605,17,5,1262,14,4,198,2,0,0,0,0,5812,5656,118,85,33,1316934,1288361,34891,24433,10458,464,8,2,386,3,3,4021,3911,55,37,18,899775,880880,12215,6983,5232,310,2,2,305,3,0,128,125,0,0,0,20791,20249,0,0,0,1,0,0,38,0,0
AK,10/31/2010,1842,32,487,21,0,9,12,2,3,0,0,19701,937,5816,0,0,162,11,146,0,0,81,16,40,22413,21676,372,271,101,5045154,4911919,110055,75671,34384,1910,24,11,1157,10,5,150,2,0,0,0,0,5404,5217,112,85,27,1243412,1211143,32790,24452,8338,492,4,2,384,6,2,3619,3517,60,34,26,829562,810532,16836,8214,8622,348,6,2,274,1,1,35,35,0,0,0,5825,5709,0,0,0,1,0,0,10,0,0
AK,11/30/2010,2108,25,530,22,0,8,7,0,4,0,0,22337,846,6369,0,0,191,9,171,0,0,106,20,40,34267,33228,587,417,170,7843893,7563235,167675,106936,60739,2287,32,9,1648,17,7,178,7,0,0,0,0,6938,6704,114,75,39,1611799,1543346,36786,22487,14299,568,7,2,511,7,3,4975,4824,109,69,40,1133686,1100151,29504,16854,12650,409,7,2,407,4,2,28,27,0,0,0,5639,5437,0,0,0,0,0,0,7,0,0
AK,12/31/2010,1665,29,442,21,0,6,8,0,2,0,0,21718,824,6151,0,0,189,6,155,0,0,97,16,32,30238,29322,538,383,155,6815157,6649300,153606,99973,53633,1851,25,7,1471,17,9,190,1,1,0,0,0,6376,6145,89,69,20,1423995,1379846,27275,19755,7520,612,6,1,427,6,2,4379,4265,103,73,30,1000890,982675,30112,20736,9376,376,5,2,344,5,5,38,38,0,0,0,7281,7211,0,0,0,0,0,0,6,0,0
AK,1/31/2011,2297,23,624,28,1,7,13,0,3,0,0,27100,848,7503,0,0,242,17,173,0,0,122,20,44,30525,29598,507,364,143,6986907,6810192,142948,91546,51402,2231,23,9,1637,18,6,185,3,0,0,0,0,6807,6634,86,62,24,1517573,1484283,26259,18003,8256,710,6,4,495,3,2,4369,4238,79,57,22,1008730,985263,24540,16880,7660,424,3,2,358,5,1,43,43,0,0,0,10179,9957,0,0,0,26,0,0,7,0,0
AK,2/28/2011,3484,23,1023,34,1,26,16,0,6,0,0,24601,719,6700,0,0,228,12,180,0,0,90,17,42,33809,32693,612,452,160,7704156,7482679,164521,111111,53410,1286,31,2,1586,16,7,170,3,1,0,0,0,7695,7492,105,84,21,1719763,1683016,30169,23242,6927,363,7,0,355,5,1,4687,4529,69,48,21,1070655,1036821,20354,12686,7668,68,1,0,299,3,1,4554,4453,68,54,14,993941,973492,17535,14322,3213,170,0,0,187,2,2
AK,3/31/2011,1750,23,460,22,1,10,5,0,3,0,0,20081,824,5483,0,0,181,23,168,0,0,71,19,39,32888,31635,599,464,135,7475282,7248053,171124,122794,48330,797,13,1,2469,29,11,174,5,2,0,0,0,9366,9064,149,99,50,2178437,2123834,42085,23795,18290,246,5,1,590,6,2,6252,6071,93,65,28,1418658,1384000,25850,16328,9522,54,0,0,448,3,3,5433,5268,108,79,29,1129593,1104100,33099,23115,984,12,0,0,867,11,4
AK,4/30/2011,1801,25,534,15,0,12,8,0,3,0,0,20007,827,5554,0,0,228,4,156,0,0,73,8,29,27132,26088,495,388,107,6229351,6039801,128363,90866,37497,916,15,3,2000,19,8,145,2,0,0,0,0,7362,7078,114,90,24,1735468,1685333,27132,18824,8308,253,7,0,555,6,1,5037,4891,76,57,19,1173282,1144718,21688,14898,6790,38,1,0,395,2,2,2329,2263,31,19,12,505977,493763,8064,3524,4540,13,0,0,422,3,3
AK,5/31/2011,2477,30,749,42,0,19,11,0,5,0,0,27197,837,7537,0,0,321,6,170,0,0,121,9,51,28745,27571,576,423,153,6622471,6404577,155184,100572,54612,1229,24,8,1986,17,3,203,4,0,0,0,0,7090,6794,143,102,41,1665917,1609974,39591,24859,14732,220,4,0,541,6,1,5422,5253,84,68,16,1265091,1236367,22417,17623,4794,45,0,0,436,5,0,2254,2175,27,17,10,483691,468761,7712,3772,3940,7,0,0,374,2,1
AK,6/30/2011,3385,23,891,68,0,19,40,1,4,0,0,24655,677,6895,0,0,406,9,176,0,0,181,14,41,40626,39000,975,714,261,9362869,9075987,256184,163502,92682,3206,86,22,2045,33,9,289,0,1,0,0,0,8424,8086,171,130,41,1975380,1911427,47135,31901,15234,319,8,0,535,5,4,6604,6396,104,77,27,1574206,1534807,28685,19404,9281,52,0,0,433,4,1,2808,2733,41,33,8,601967,588129,11430,8458,2972,8,0,0,416,6,1
AK,7/31/2011,1764,12,522,25,0,18,14,1,7,0,0,32865,679,8998,0,0,589,12,269,0,0,234,15,68,37746,36186,1040,732,308,8705713,8427790,284773,172963,111810,1432,24,14,34,0,0,354,4,0,0,0,0,6900,6580,171,139,32,1592506,1533022,45914,34590,11324,231,5,0,6,0,0,5179,4993,97,66,31,1240650,1206046,26955,15539,11416,42,3,0,9,0,0,991,966,22,16,6,209540,204855,6064,3880,2184,1,0,0,8,0,0
AK,8/31/2011,2046,12,663,43,0,15,13,1,3,0,0,31054,600,8287,0,0,550,12,252,0,0,255,24,74,45677,43818,1327,956,371,10337976,10003600,366134,231187,134947,1311,32,4,2169,42,7,504,4,2,0,0,0,9141,8756,250,190,60,2062589,1992236,67498,45640,21858,370,12,0,619,14,1,6566,6340,135,95,40,1537633,1495206,38075,23415,14660,59,0,0,547,5,2,208,203,7,7,0,39965,34823,802,802,0,0,0,0,57,2,0
AK,9/30/2011,2186,22,755,39,0,16,18,0,6,0,0,30122,552,8244,0,0,545,9,268,0,0,238,21,70,38577,36930,1158,844,314,8598521,8315273,315166,198982,116184,1449,34,14,2233,51,14,571,8,3,0,0,0,8844,8480,253,201,52,1906333,1843056,57263,39816,17447,525,21,3,610,15,4,5699,5495,146,116,30,1307982,1270398,40339,29207,11132,42,0,0,422,6,5,149,146,6,4,2,33982,30237,822,326,496,0,0,0,30,0,0
AK,10/31/2011,2688,26,823,33,1,31,24,1,7,0,0,37785,598,10632,0,0,633,9,344,0,0,302,22,90,38232,36650,1069,754,315,8542887,8267778,295602,177056,118546,1620,42,9,2506,37,16,591,4,0,0,0,0,10766,10369,271,223,48,2303090,2231581,60050,42416,17634,683,18,0,626,11,4,5731,5540,150,122,28,1311891,1276191,39883,30075,9808,78,1,0,450,6,1,144,138,8,4,4,28040,25068,1984,992,992,1,0,0,30,0,1
AK,11/30/2011,2444,21,797,42,0,21,21,1,3,0,0,33718,551,9182,0,0,467,18,313,0,0,268,19,83,50904,48936,1352,938,414,11384708,11027993,381894,226221,155673,1989,38,7,2652,59,15,473,8,1,0,0,0,16325,15754,416,305,111,3598061,3498421,113217,71627,41590,708,11,2,862,21,3,8535,8278,221,181,40,1902443,1850570,56225,41991,14234,199,5,0,540,14,0,234,227,1,1,0,43962,39855,199,199,0,1,0,0,30,1,0
AK,12/31/2011,2439,23,838,21,0,30,17,1,7,0,0,36343,621,9761,0,0,484,1,320,0,0,283,13,89,44464,42674,1138,778,360,9975529,9643417,327244,193063,134181,1759,35,7,2777,40,20,343,5,0,0,0,0,13921,13322,369,251,118,3152739,3041472,109365,63992,45373,495,5,2,1030,19,4,8586,8323,225,177,48,1840548,1785639,52787,36489,16298,246,8,0,657,8,4,134,129,0,0,0,25909,23074,0,0,0,0,0,0,29,0,0
AK,1/31/2012,2845,14,847,34,2,29,30,1,4,0,0,43805,688,11490,0,0,543,0,421,0,0,373,12,106,48861,46946,1260,839,421,11049533,10707090,370243,213661,156582,1642,40,8,3244,68,25,255,0,0,0,0,0,14524,13923,423,278,145,3328956,3224294,129360,73994,55366,506,10,3,1172,23,7,10617,10266,269,219,50,2307723,2243553,63919,45705,18214,162,9,0,843,22,5,158,154,0,0,0,30957,28039,0,0,0,0,0,0,21,0,0
AK,2/29/2012,2118,17,578,28,0,20,12,0,7,0,0,24959,578,5857,0,0,299,4,252,0,0,160,15,64,30947,29477,793,563,230,7106185,6816656,234470,147340,87130,58,2,0,2235,43,17,135,0,0,0,0,0,8711,8217,256,157,99,2007439,1915196,80554,42150,38404,6,1,0,838,17,10,9299,8949,260,201,59,2179161,2114025,74327,51907,22420,1,0,0,757,20,3,2008,1969,55,47,8,417877,409320,13002,9858,3144,0,0,0,85,0,0
AK,3/31/2012,5089,29,1511,78,1,53,34,1,15,0,0,28612,581,7413,0,0,371,1,332,0,0,188,18,80,35316,33672,972,718,254,8171709,7735698,279608,185311,94297,0,0,0,2883,69,19,218,2,0,0,0,0,7433,7028,236,156,80,1686809,1619879,69227,39353,29874,0,0,0,583,12,9,8350,7997,235,153,82,2030792,1964207,74772,43232,31540,0,0,0,613,13,0,7525,7238,247,205,42,1762482,1571174,62548,47238,15310,0,0,0,1141,36,4
AK,4/30/2012,4486,12,1219,57,0,39,30,0,5,0,0,47458,610,12909,0,0,619,9,499,0,0,380,24,133,46718,44549,1281,879,402,10632386,10171855,381004,229965,151039,0,0,0,3230,43,22,226,5,0,0,0,0,8741,8264,202,132,70,1969012,1864725,60544,33798,26746,0,0,0,646,8,5,8091,7707,251,150,101,1937528,1852677,81728,42982,38746,0,0,0,666,9,4,6625,6320,132,95,37,1479115,1419079,35836,22722,13114,0,0,0,1161,20,7
AK,5/31/2012,1967,15,692,24,0,24,18,1,8,0,0,34323,536,9473,0,0,423,14,370,0,0,270,26,93,51068,48506,1374,947,427,11499189,11037381,407180,248174,159006,0,0,0,2854,49,22,339,3,1,0,0,0,9698,9139,237,147,90,2156458,2057061,65910,34071,31839,0,0,0,588,8,4,8361,7925,264,163,101,1944377,1860182,83481,44709,38772,0,0,0,675,14,11,5452,5188,129,92,37,1248426,1199823,35435,21273,14162,0,0,0,808,16,2
AK,6/30/2012,1567,14,611,21,1,12,9,2,3,0,0,25848,492,7585,0,0,343,8,303,0,0,211,28,78,32311,30687,938,652,286,7247446,6963376,278167,175011,103156,0,0,0,2419,38,22,314,2,0,0,0,0,6836,6467,160,114,46,1503985,1437752,48108,31719,16389,0,0,0,455,7,4,5661,5369,160,94,66,1290268,1239040,45725,22111,23614,0,0,0,499,8,8,1758,1665,74,49,25,408846,393414,21118,11774,9344,0,0,0,581,13,7
AK,7/31/2012,2068,17,761,22,3,24,22,0,7,0,0,25479,579,7892,0,0,362,23,325,0,0,192,35,72,30804,29311,910,666,244,7227916,6712261,290427,192786,97641,0,0,0,2110,40,22,316,5,1,0,0,0,8622,8258,190,139,51,1993283,1833287,64140,40730,23410,0,0,0,547,6,6,6104,5772,192,144,48,1450535,1324574,57380,40656,16724,0,0,0,501,11,4,496,462,9,6,3,110150,93780,2023,913,1110,0,0,0,101,0,1
AK,8/31/2012,1482,15,635,22,0,10,13,0,3,0,0,19294,552,6449,0,0,270,13,225,0,0,161,34,45,25331,24038,685,478,207,5738887,5477237,216009,137813,78196,0,0,0,1615,31,8,424,3,2,0,0,0,7632,7325,204,150,54,1772536,1706695,65866,44018,21848,0,0,0,493,12,2,5129,4822,143,103,40,1133504,1075749,43746,28778,14968,0,0,0,429,9,3,335,313,6,6,0,69721,58106,932,924,8,0,0,0,51,0,0
AK,9/30/2012,1313,13,731,14,0,22,6,2,3,0,0,21688,515,7937,0,0,306,11,244,0,0,162,38,43,23910,22667,617,450,167,5361415,5115628,189337,128336,61001,0,0,0,1675,27,6,563,13,0,0,0,0,7133,6815,180,133,47,1623077,1565072,55088,37202,17886,0,0,0,507,4,1,5049,4769,117,83,34,1103056,1043544,35606,22914,12692,0,0,0,438,4,3,301,282,8,5,3,59586,53952,1018,478,540,0,0,0,57,1,0
AK,10/31/2012,1693,16,755,25,2,23,12,0,5,0,0,21102,443,7904,0,0,314,10,254,0,0,175,33,58,30687,29046,820,603,217,6887455,6559668,249102,166907,82195,0,0,0,1931,39,11,685,12,1,0,0,0,9200,8782,247,180,67,2085030,1997606,79346,52029,27317,0,0,0,652,14,4,6315,5957,138,109,29,1396596,1327186,41785,30727,11058,0,0,0,553,8,3,325,303,14,12,2,62174,54591,2844,2606,238,0,0,0,55,1,1
AK,11/30/2012,1624,13,649,16,1,13,16,0,2,0,0,20664,405,7155,0,0,244,5,229,0,0,160,27,61,26389,25118,652,449,203,5964283,5716363,204752,129997,74755,0,0,0,2056,26,11,449,3,3,0,0,0,7510,7143,148,112,36,1696481,1622495,46473,32766,13707,0,0,0,621,9,3,5286,5043,135,98,37,1192545,1142954,44879,29853,15026,0,0,0,643,10,5,305,268,6,6,0,56548,50393,1704,1704,0,0,0,0,47,0,0
AK,12/31/2012,1653,17,672,17,2,18,17,0,3,0,0,25797,485,8313,0,0,249,14,253,0,0,199,27,83,26782,25590,621,400,221,6060130,5828977,191538,109140,82398,0,0,0,2053,43,16,392,3,0,0,0,0,8017,7660,178,127,51,1774095,1700953,51254,33856,17398,0,0,0,555,7,7,5168,4948,126,80,46,1167211,1123695,39671,21143,18528,0,0,0,544,16,1,314,274,5,5,0,60410,53753,433,433,0,0,0,0,62,1,0
AK,1/31/2013,1917,16,588,26,1,13,8,1,4,0,0,19997,396,5900,0,0,224,11,160,0,0,108,24,52,28791,27604,593,420,173,6687325,6376998,191293,126028,65265,0,0,0,1874,22,16,369,4,1,0,0,0,9787,9432,240,190,50,2240194,2146065,76177,57491,18686,0,0,0,516,7,0,5338,5113,110,63,47,1206631,1149386,35889,17971,17918,0,0,0,519,5,8,294,264,1,1,0,60878,53028,272,272,0,0,0,0,42,0,0
AK,2/28/2013,4207,16,1499,44,0,53,33,0,16,0,0,22473,402,6296,0,0,260,13,164,0,0,116,19,63,25624,24404,537,400,137,5754778,5400856,165978,118988,46990,0,0,0,1795,19,7,324,2,1,0,0,0,8417,8021,225,160,65,1953209,1836188,69697,46293,23404,0,0,0,568,7,3,4396,4228,68,54,14,940036,885796,21819,16855,4964,0,0,0,486,4,3,1548,1493,25,18,7,255618,236216,4436,3140,1296,0,0,0,51,0,0
AK,3/31/2013,2077,18,759,21,0,14,11,0,2,0,0,31317,472,9911,0,0,396,17,278,0,0,190,14,71,34829,33322,826,587,239,8174418,7630375,264287,172876,91411,0,0,0,1973,24,6,427,4,0,0,0,0,8356,7945,213,140,73,1996867,1868835,67033,39697,27336,0,0,0,631,13,3,4713,4539,78,64,14,1005056,955171,22200,16876,5324,0,0,0,513,6,1,9981,9637,270,175,95,2451313,2240737,90829,52675,38154,0,0,0,80,0,0
AK,4/30/2013,2668,13,977,42,4,20,15,1,6,0,0,30339,480,9556,0,0,352,20,263,0,0,168,16,68,41744,39760,876,639,237,9543151,9010999,265422,180531,84891,0,0,0,3829,66,24,499,3,2,0,0,0,10283,9761,198,143,55,2371337,2252846,63377,42851,20526,0,0,0,762,14,5,6095,5816,115,94,21,1339965,1268363,30753,23779,6974,0,0,0,690,8,2,10850,10397,241,168,73,2439604,2282021,71680,45201,26479,0,0,0,1382,21,13
AK,5/31/2013,1934,15,647,15,1,19,18,0,5,0,0,25206,445,7549,0,0,273,18,216,0,0,138,9,62,24830,23457,513,375,138,5738871,5341308,157463,105811,51652,0,0,0,2144,37,10,484,11,0,0,0,0,6694,6343,129,97,32,1530474,1444249,43284,29884,13400,0,0,0,464,5,4,3884,3701,93,74,19,881648,837765,25608,18754,6854,0,0,0,441,6,1,5147,4853,105,86,19,1162592,1034494,27954,21922,6032,0,0,0,632,14,1
AK,6/30/2013,1618,15,530,7,0,14,12,1,1,0,0,24258,388,6945,0,0,233,21,179,0,0,164,5,61,32179,30508,673,444,229,7066593,6717047,203281,126332,76949,0,0,0,2319,27,7,459,7,1,0,0,0,9594,9075,181,138,43,2079090,1976105,57463,43045,14418,0,0,0,571,3,2,5648,5400,99,64,35,1207126,1157061,27053,16865,10188,0,0,0,531,10,2,4222,3952,83,67,16,872500,822412,21277,15485,5792,0,0,0,553,8,2
