DATE,UNEMPLOY
1948-01-01,2276.4166666666666667
1949-01-01,3712.1666666666666667
1950-01-01,3230.0000000000000000
1951-01-01,2049.9166666666666667
1952-01-01,1880.2500000000000000
1953-01-01,1849.7500000000000000
1954-01-01,3565.5000000000000000
1955-01-01,2833.8333333333333333
1956-01-01,2744.9166666666666667
1957-01-01,2877.4166666666666667
1958-01-01,4627.0833333333333333
1959-01-01,3730.8333333333333333
1960-01-01,3874.1666666666666667
1961-01-01,4705.6666666666666667
1962-01-01,3917.7500000000000000
1963-01-01,4052.6666666666666667
1964-01-01,3775.8333333333333333
1965-01-01,3353.6666666666666667
1966-01-01,2866.5833333333333333
1967-01-01,2971.8333333333333333
1968-01-01,2797.4166666666666667
1969-01-01,2830.1666666666666667
1970-01-01,4127.3333333333333333
1971-01-01,5021.6666666666666667
1972-01-01,4875.8333333333333333
1973-01-01,4359.3333333333333333
1974-01-01,5173.3333333333333333
1975-01-01,7939.5833333333333333
1976-01-01,7398.1666666666666667
1977-01-01,6966.9166666666666667
1978-01-01,6187.0833333333333333
1979-01-01,6135.3333333333333333
1980-01-01,7670.6666666666666667
1981-01-01,8276.3333333333333333
1982-01-01,10714.9166666666666667
1983-01-01,10693.7500000000000000
1984-01-01,8529.0833333333333333
1985-01-01,8313.4166666666666667
1986-01-01,8245.0000000000000000
1987-01-01,7413.5000000000000000
1988-01-01,6696.5833333333333333
1989-01-01,6523.6666666666666667
1990-01-01,7061.0000000000000000
1991-01-01,8639.8333333333333333
1992-01-01,9611.1666666666666667
1993-01-01,8926.6666666666666667
1994-01-01,7975.5000000000000000
1995-01-01,7406.9166666666666667
1996-01-01,7231.0833333333333333
1997-01-01,6728.6666666666666667
1998-01-01,6203.8333333333333333
1999-01-01,5878.8333333333333333
2000-01-01,5685.0833333333333333
2001-01-01,6829.6666666666666667
2002-01-01,8375.3333333333333333
2003-01-01,8770.3333333333333333
2004-01-01,8139.6666666666666667
2005-01-01,7579.1666666666666667
2006-01-01,6991.2500000000000000
2007-01-01,7073.0833333333333333
2008-01-01,8948.1666666666666667
2009-01-01,14294.500000000000
2010-01-01,14807.750000000000
2011-01-01,13738.500000000000
2012-01-01,12499.166666666667
2013-01-01,11457.166666666667
2014-01-01,9601.5000000000000000
2015-01-01,8293.7500000000000000
2016-01-01,7751.3333333333333333
2017-01-01,6984.6666666666666667
2018-01-01,6315.2500000000000000
2019-01-01,5999.1666666666666667
2020-01-01,12951.666666666667
2021-01-01,8626.5833333333333333
2022-01-01,5994.1666666666666667
2023-01-01,6078.3333333333333333
2024-01-01,.
